                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0012,                0.69357,                 1.0723,                0.84944,                0.65529,                0.74777,                0.45901,                 1.4451,                 1.0391,                 1.3786,             0.00028806,             0.00028806,             0.00028806
                     72,                0.98498,                0.67751,                 1.0461,                 0.8205,                0.68688,                0.75367,                0.45375,                 1.4528,                 1.0552,                  1.384,             0.00027906,             0.00027906,             0.00027906
                     73,                0.95435,                0.66539,                 1.0437,                0.76153,                0.70212,                0.74457,                0.44633,                 1.4603,                 1.0472,                  1.388,             0.00027006,             0.00027006,             0.00027006
                     74,                0.95354,                0.66515,                 1.0421,                0.80865,                0.68623,                0.75612,                0.45803,                 1.4605,                 1.0277,                 1.3935,             0.00026106,             0.00026106,             0.00026106
                     75,                0.96555,                0.65407,                 1.0495,                0.82841,                0.68854,                0.75653,                0.45669,                 1.4617,                 1.0311,                 1.3886,             0.00025207,             0.00025207,             0.00025207
                     76,                0.97319,                0.67369,                 1.0467,                0.77415,                0.70715,                0.74307,                0.44771,                 1.4654,                 1.0631,                 1.3964,             0.00024307,             0.00024307,             0.00024307
                     77,                0.93473,                0.65099,                 1.0419,                0.83053,                0.65903,                0.75737,                0.45485,                 1.4642,                 1.0576,                 1.4015,             0.00023407,             0.00023407,             0.00023407
                     78,                0.93043,                0.63322,                 1.0413,                0.80796,                0.68288,                0.75326,                0.44336,                 1.4881,                 1.0628,                 1.4123,             0.00022507,             0.00022507,             0.00022507
                     79,                 0.9305,                0.64664,                 1.0367,                0.78797,                0.69469,                0.74122,                0.45148,                 1.4641,                 1.0656,                 1.3951,             0.00021607,             0.00021607,             0.00021607
                     80,                0.92582,                0.63558,                 1.0277,                 0.7993,                0.68745,                0.74319,                0.45273,                 1.4595,                 1.0805,                 1.3971,             0.00020707,             0.00020707,             0.00020707
                     81,                 0.9206,                0.62314,                 1.0226,                0.81675,                0.66961,                0.74824,                0.45532,                  1.457,                 1.0616,                 1.4042,             0.00019807,             0.00019807,             0.00019807
                     82,                0.95287,                0.63541,                 1.0383,                0.79712,                0.69399,                0.75373,                0.46253,                 1.4555,                 1.0806,                 1.3915,             0.00018907,             0.00018907,             0.00018907
                     83,                0.93194,                0.64207,                 1.0353,                0.81076,                0.67481,                0.75254,                0.45509,                 1.4475,                 1.0656,                 1.3752,             0.00018007,             0.00018007,             0.00018007
                     84,                0.93836,                0.64219,                 1.0419,                0.83221,                0.66645,                0.75335,                0.45692,                 1.4533,                 1.0478,                 1.3954,             0.00017107,             0.00017107,             0.00017107
                     85,                0.90812,                0.62201,                 1.0351,                0.87081,                0.64444,                0.74253,                0.45408,                 1.4606,                 1.0686,                 1.3997,             0.00016207,             0.00016207,             0.00016207
                     86,                0.90646,                0.61189,                 1.0156,                0.79702,                0.69374,                0.74776,                0.45811,                  1.448,                 1.0519,                 1.3948,             0.00015308,             0.00015308,             0.00015308
                     87,                0.89286,                 0.6018,                 1.0066,                 0.8374,                0.67651,                 0.7523,                0.45913,                 1.4639,                 1.0373,                 1.4074,             0.00014408,             0.00014408,             0.00014408
                     88,                 0.9166,                0.61265,                 1.0287,                0.82281,                 0.6832,                0.74478,                0.45611,                 1.4612,                 1.0368,                 1.3962,             0.00013508,             0.00013508,             0.00013508
                     89,                0.89867,                0.60303,                 1.0279,                0.86612,                0.65415,                0.75412,                 0.4586,                 1.4717,                 1.0393,                 1.4033,             0.00012608,             0.00012608,             0.00012608
                     90,                0.89086,                0.59558,                 1.0157,                0.84988,                0.65269,                0.75056,                0.45801,                 1.4664,                 1.0377,                 1.4029,             0.00011708,             0.00011708,             0.00011708
                     91,                0.91145,                0.64067,                 1.0256,                0.84306,                 0.6521,                0.72343,                 0.4369,                 1.4808,                 1.1428,                  1.426,             0.00010808,             0.00010808,             0.00010808
                     92,                0.88668,                0.58905,                  1.011,                0.83073,                 0.6577,                0.72934,                0.43996,                 1.4808,                 1.0882,                 1.4409,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                0.85509,                0.55333,                 1.0031,                0.81643,                0.65636,                0.73162,                0.44339,                 1.4799,                 1.0743,                 1.4251,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                0.84148,                 0.5504,                0.99314,                0.82784,                0.67841,                0.75216,                0.44647,                 1.4904,                 1.0514,                 1.4317,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                0.86578,                0.55269,                 1.0049,                0.81384,                0.69223,                0.75105,                0.45236,                 1.4833,                 1.0402,                 1.4245,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                0.84491,                0.53761,                0.98371,                 0.8403,                0.68597,                0.75282,                0.45158,                 1.4736,                 1.0367,                 1.4142,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                 0.8442,                0.53713,                0.99574,                0.83188,                0.67173,                0.75135,                0.45305,                 1.4755,                 1.0403,                  1.421,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                0.83067,                0.53072,                0.98946,                0.83602,                0.66668,                  0.754,                 0.4561,                 1.4753,                 1.0347,                 1.4202,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                0.81994,                0.54655,                0.98099,                0.83471,                0.67501,                0.75295,                0.45202,                 1.4779,                 1.0397,                 1.4215,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                0.80823,                0.52338,                0.98332,                0.81936,                0.68646,                0.75178,                0.45116,                 1.4761,                 1.0401,                 1.4219,             2.7088e-05,             2.7088e-05,             2.7088e-05
